id,568314,568229,568317,568318,
2020-02-08 05:30,3.0,1.0,0.0,0.5,
2020-02-08 05:35,4.0,0.5,0.0,0.0,
2020-02-08 05:40,1.0,1.5,1.0,1.0,
2020-02-08 05:45,1.5,1.0,0.5,0.0,
2020-02-08 05:50,0.5,0.5,0.0,0.0,
2020-02-08 05:55,0.0,0.0,0.0,0.0,
2020-02-08 06:00,0.0,0.0,0.0,0.0,
2020-02-08 06:05,0.0,0.0,0.0,0.0,
2020-02-08 06:10,0.0,0.0,0.0,0.0,
2020-02-08 06:15,0.0,0.0,0.5,0.0,
2020-02-08 06:20,0.0,0.0,0.0,0.0,
2020-02-08 06:25,0.0,0.0,0.0,0.0,
2020-02-08 06:30,0.5,0.0,0.0,0.0,
2020-02-08 06:35,0.0,0.0,0.0,0.0,
2020-02-08 06:40,0.0,0.0,0.0,0.0,
2020-02-08 06:45,0.0,0.0,0.0,0.0,
2020-02-08 06:50,0.0,0.0,0.0,0.0,
2020-02-08 06:55,0.0,0.0,0.0,0.0,
2020-02-08 07:00,0.0,0.0,0.0,0.0,
2020-02-08 07:05,0.0,0.0,0.0,0.0,
2020-02-08 07:10,0.0,0.0,0.0,0.0,
2020-02-08 07:15,0.0,0.0,0.0,0.0,
2020-02-08 07:20,0.0,0.0,0.0,0.0,
2020-02-08 07:25,0.0,0.0,0.0,0.0,
2020-02-08 07:30,0.5,0.5,0.0,0.0,
2020-02-08 07:35,0.5,1.0,1.0,1.5,
2020-02-08 07:40,0.0,2.0,1.0,1.0,
2020-02-08 07:45,0.0,2.5,1.0,2.0,
2020-02-08 07:50,0.0,1.0,2.5,1.5,
2020-02-08 07:55,0.5,0.5,0.5,0.5,
2020-02-08 08:00,0.0,1.5,1.0,0.5,
2020-02-08 08:05,0.0,0.5,2.0,2.0,
2020-02-08 08:10,0.5,1.0,3.0,3.0,
2020-02-08 08:15,0.0,1.5,1.5,1.0,
2020-02-08 08:20,0.0,6.5,0.5,1.0,
2020-02-08 08:25,0.5,7.5,1.0,0.5,
2020-02-08 08:30,0.0,5.5,0.5,0.5,
2020-02-08 08:35,1.0,4.0,1.5,2.0,
2020-02-08 08:40,1.5,5.0,4.0,4.0,
2020-02-08 08:45,2.0,3.5,1.0,2.5,
2020-02-08 08:50,3.0,0.5,3.5,4.0,
2020-02-08 08:55,3.5,1.5,5.5,4.0,
2020-02-08 09:00,1.0,1.5,6.0,8.0,
2020-02-08 09:05,1.0,1.5,7.0,7.5,
2020-02-08 09:10,0.5,1.5,7.5,4.5,
2020-02-08 09:15,0.5,1.0,4.5,2.0,
2020-02-08 09:20,0.0,0.5,1.5,1.0,
2020-02-08 09:25,1.0,0.5,3.5,1.5,
2020-02-08 09:30,0.5,0.5,4.0,4.0,
2020-02-08 09:35,0.0,0.5,2.5,2.0,
2020-02-08 09:40,0.5,1.5,3.5,4.0,
2020-02-08 09:45,0.5,2.0,2.0,2.0,
2020-02-08 09:50,0.5,3.0,1.0,0.5,
2020-02-08 09:55,0.0,1.5,0.5,0.5,
2020-02-08 10:00,0.5,0.5,0.5,0.5,
2020-02-08 10:05,0.0,0.0,0.5,0.5,
2020-02-08 10:10,0.5,1.5,0.5,0.0,
2020-02-08 10:15,0.0,0.0,0.0,0.5,
2020-02-08 10:20,0.0,0.5,1.0,1.0,
2020-02-08 10:25,0.0,0.0,2.0,2.5,
2020-02-08 10:30,0.0,1.0,1.5,1.0,
2020-02-08 10:35,0.0,0.5,0.5,0.5,
2020-02-08 10:40,0.0,0.0,2.5,1.5,
2020-02-08 10:45,0.0,0.5,1.5,1.5,
2020-02-08 10:50,0.5,1.0,0.5,0.0,
2020-02-08 10:55,0.0,1.0,0.0,0.0,
2020-02-08 11:00,0.0,0.5,0.0,0.0,
2020-02-08 11:05,2.5,0.0,0.5,0.5,
2020-02-08 11:10,0.5,0.0,0.0,0.0,
2020-02-08 11:15,1.0,0.5,0.0,0.0,
2020-02-08 11:20,4.0,0.0,0.0,0.0,
2020-02-08 11:25,0.0,0.0,0.0,0.0,
2020-02-08 11:30,0.0,0.0,0.0,0.0,
2020-02-08 11:35,0.5,0.0,0.0,0.0,
2020-02-08 11:40,0.0,0.0,0.0,0.0,
2020-02-08 11:45,0.0,0.0,0.5,0.5,
2020-02-08 11:50,0.0,0.0,0.0,0.0,
2020-02-08 11:55,0.0,0.0,0.0,0.0,
2020-02-08 12:00,0.0,0.0,0.5,0.0,
2020-02-08 12:05,0.0,0.0,0.5,0.5,
2020-02-08 12:10,0.0,0.0,1.5,1.5,
2020-02-08 12:15,0.0,0.0,0.5,0.0,
2020-02-08 12:20,0.0,0.0,0.0,0.0,
2020-02-08 12:25,0.0,0.0,0.0,0.0,
2020-02-08 12:30,0.0,0.0,0.0,0.0,
2020-02-08 12:35,0.0,0.0,0.0,0.0,
2020-02-08 12:40,0.0,0.0,0.0,0.0,
2020-02-08 12:45,0.0,0.0,0.0,0.0,
2020-02-08 12:50,0.0,0.0,0.0,0.0,
2020-02-08 12:55,0.0,0.0,0.0,0.0,
2020-02-08 13:00,0.0,0.0,0.0,0.0,
2020-02-08 13:05,0.0,0.0,0.0,0.0,
2020-02-08 13:10,0.0,0.0,0.0,0.0,
2020-02-08 13:15,0.0,0.5,0.0,0.0,
2020-02-08 13:20,0.0,0.0,0.0,0.0,
2020-02-08 13:25,0.0,0.0,0.0,0.0,
2020-02-08 13:30,0.0,0.0,0.0,0.0,
2020-02-08 13:35,0.0,0.0,0.0,0.0,
2020-02-08 13:40,0.0,0.0,0.0,0.0,
2020-02-08 13:45,0.0,0.0,0.0,0.0,
2020-02-08 13:50,0.0,0.0,0.0,0.0,
2020-02-08 13:55,0.0,0.0,0.0,0.0,
2020-02-08 14:00,0.0,0.0,0.0,0.0,
2020-02-08 14:05,0.0,0.0,0.0,0.0,
2020-02-08 14:10,0.0,0.0,0.0,0.0,
2020-02-08 14:15,0.0,0.0,0.0,0.0,
2020-02-08 14:20,0.0,0.0,0.0,0.0,
2020-02-08 14:25,0.0,0.0,0.0,0.0,
2020-02-08 14:30,0.0,0.0,0.0,0.0,
2020-02-08 14:35,0.0,0.0,0.0,0.0,
2020-02-08 14:40,0.0,0.0,0.0,0.0,
2020-02-08 14:45,0.0,0.0,0.0,0.0,
2020-02-08 14:50,0.0,0.0,0.0,0.0,
2020-02-08 14:55,0.0,0.0,0.0,0.0,
2020-02-08 15:00,0.0,0.0,0.0,0.0,
2020-02-08 15:05,0.0,0.0,0.0,0.0,
2020-02-08 15:10,0.0,0.0,0.0,0.0,
2020-02-08 15:15,0.0,0.0,0.0,0.0,
2020-02-08 15:20,0.0,0.0,0.0,0.0,
2020-02-08 15:25,0.0,0.0,0.0,0.0,
2020-02-08 15:30,0.0,0.0,0.0,0.0,
2020-02-08 15:35,0.0,0.0,0.0,0.0,
2020-02-08 15:40,0.0,0.0,0.0,0.0,
2020-02-08 15:45,0.0,0.0,0.0,0.0,
2020-02-08 15:50,0.0,0.0,0.0,0.0,
2020-02-08 15:55,0.0,0.0,0.0,0.0,
2020-02-08 16:00,0.0,0.0,0.0,0.0,
2020-02-08 16:05,3.0,0.0,0.0,0.0,
2020-02-08 16:10,2.0,0.0,0.0,0.0,
2020-02-08 16:15,0.5,0.0,0.0,0.0,
2020-02-08 16:20,0.5,0.0,0.0,0.0,
2020-02-08 16:25,0.0,0.0,0.0,0.0,
2020-02-08 16:30,0.0,0.0,0.0,0.0,
2020-02-08 16:35,0.0,0.0,0.0,0.0,
2020-02-08 16:40,0.0,0.0,0.0,0.0,
2020-02-08 16:45,0.0,0.0,0.0,0.0,
2020-02-08 16:50,0.0,0.0,0.0,0.0,
2020-02-08 16:55,0.0,0.0,0.0,0.0,
2020-02-08 17:00,0.0,0.0,0.0,0.0,
2020-02-08 17:05,0.0,0.0,0.0,0.0,
2020-02-08 17:10,0.0,0.0,0.0,0.0,
2020-02-08 17:15,0.0,0.0,0.0,0.0,
2020-02-08 17:20,0.0,0.0,0.0,0.0,
2020-02-08 17:25,0.0,0.0,0.0,0.0,
2020-02-08 17:30,0.0,0.0,0.5,0.0,
2020-02-08 17:35,0.0,0.0,1.5,1.0,
2020-02-08 17:40,0.0,0.5,0.0,0.5,
2020-02-08 17:45,0.0,1.0,1.0,1.0,
2020-02-08 17:50,0.5,0.5,1.0,0.5,
2020-02-08 17:55,2.0,0.5,0.0,0.0,
2020-02-08 18:00,3.5,0.0,0.0,0.5,
2020-02-08 18:05,3.0,0.5,0.0,0.0,
2020-02-08 18:10,3.0,0.0,0.5,0.5,
2020-02-08 18:15,1.0,0.5,0.0,0.0,
2020-02-08 18:20,1.0,0.0,1.0,0.0,
2020-02-08 18:25,0.0,0.5,0.0,0.0,
2020-02-08 18:30,0.5,0.0,0.0,0.0,
2020-02-08 18:35,1.5,0.5,0.0,0.5,
2020-02-08 18:40,1.0,0.5,0.0,0.0,
2020-02-08 18:45,0.0,0.0,0.0,0.0,
2020-02-08 18:50,0.0,0.0,0.0,0.0,
2020-02-08 18:55,0.0,0.0,0.0,0.0,
2020-02-08 19:00,0.0,0.0,0.0,0.0,
2020-02-08 19:05,0.0,0.0,0.0,0.0,
2020-02-08 19:10,0.0,0.0,0.0,0.0,
2020-02-08 19:15,0.0,0.5,0.0,0.0,
2020-02-08 19:20,0.0,0.0,0.0,0.0,
2020-02-08 19:25,0.0,0.0,2.0,2.0,
2020-02-08 19:30,0.0,0.5,0.0,0.0,
2020-02-08 19:35,0.0,0.0,0.0,0.0,
2020-02-08 19:40,0.5,0.0,0.5,0.0,
2020-02-08 19:45,0.0,0.0,0.0,0.0,
2020-02-08 19:50,0.0,0.0,0.0,0.0,
2020-02-08 19:55,0.0,0.0,0.0,0.0,
2020-02-08 20:00,0.0,0.0,0.0,0.0,
2020-02-08 20:05,0.0,0.0,0.0,0.0,
2020-02-08 20:10,0.0,0.0,0.0,0.0,
2020-02-08 20:15,0.0,2.0,0.0,0.0,
2020-02-08 20:20,0.0,0.0,0.0,0.0,
2020-02-08 20:25,0.0,0.0,0.0,0.0,
2020-02-08 20:30,0.0,0.0,0.0,0.0,
2020-02-08 20:35,0.0,0.0,0.0,0.0,
2020-02-08 20:40,0.0,0.0,0.0,0.0,
2020-02-08 20:45,0.0,0.0,0.0,0.0,
2020-02-08 20:50,0.0,0.0,0.0,0.0,
2020-02-08 20:55,0.0,0.0,0.0,0.0,
2020-02-08 21:00,0.0,0.0,0.0,0.0,
2020-02-08 21:05,0.0,0.0,0.0,0.0,
2020-02-08 21:10,0.0,0.0,0.0,0.0,
2020-02-08 21:15,0.0,0.0,0.0,0.0,
2020-02-08 21:20,0.0,0.0,0.0,0.0,
2020-02-08 21:25,0.0,0.0,0.0,0.0,
2020-02-08 21:30,0.0,0.0,0.0,0.0,
2020-02-08 21:35,0.0,0.0,0.0,0.0,
2020-02-08 21:40,0.0,0.0,0.0,0.0,
2020-02-08 21:45,0.0,0.0,0.0,0.0,
2020-02-08 21:50,0.0,0.0,0.0,0.0,
2020-02-08 21:55,0.0,0.0,0.0,0.0,
2020-02-08 22:00,0.0,0.0,0.0,0.0,
2020-02-08 22:05,0.0,0.0,0.0,0.0,
2020-02-08 22:10,0.0,0.0,0.0,0.0,
2020-02-08 22:15,0.0,0.0,0.0,0.0,
2020-02-08 22:20,0.0,0.0,0.0,0.0,
2020-02-08 22:25,0.0,0.0,0.0,0.0,
2020-02-08 22:30,0.0,0.0,0.0,0.0,
2020-02-08 22:35,0.0,0.0,0.0,0.0,
2020-02-08 22:40,0.0,0.0,0.0,0.0,
2020-02-08 22:45,0.0,0.0,0.0,0.0,
2020-02-08 22:50,0.0,0.0,0.0,0.0,
2020-02-08 22:55,0.0,0.0,0.0,0.0,
2020-02-08 23:00,0.0,0.0,0.0,0.0,
2020-02-08 23:05,0.0,0.0,0.0,0.0,
2020-02-08 23:10,0.0,0.0,0.0,0.0,
2020-02-08 23:15,0.0,0.0,0.0,0.0,
2020-02-08 23:20,0.0,0.0,0.0,0.0,
2020-02-08 23:25,0.5,0.0,0.5,0.0,
2020-02-08 23:30,0.0,0.0,0.0,0.5,
2020-02-08 23:35,0.0,0.0,0.0,0.0,
2020-02-08 23:40,0.0,0.0,0.0,0.0,
2020-02-08 23:45,0.0,0.0,0.0,0.0,
2020-02-08 23:50,0.0,0.0,0.5,0.0,
2020-02-08 23:55,0.0,0.0,1.5,0.5,
2020-02-09 00:00,2.5,0.0,0.0,0.0,
2020-02-09 00:05,0.5,0.5,0.0,0.0,
2020-02-09 00:10,0.0,0.0,0.0,0.0,
2020-02-09 00:15,0.0,0.0,0.0,0.0,
2020-02-09 00:20,0.5,0.0,0.0,0.5,
2020-02-09 00:25,0.0,1.0,0.0,0.0,
2020-02-09 00:30,0.5,0.5,0.0,0.0,
2020-02-09 00:35,1.0,0.0,0.0,0.0,
2020-02-09 00:40,0.0,0.5,0.0,0.0,
2020-02-09 00:45,0.0,0.0,0.5,0.0,
2020-02-09 00:50,0.0,0.0,0.0,0.0,
2020-02-09 00:55,0.0,0.0,0.0,0.0,
2020-02-09 01:00,0.5,0.0,0.0,0.0,
2020-02-09 01:05,0.0,0.0,0.0,0.0,
2020-02-09 01:10,0.0,0.0,0.0,0.0,
2020-02-09 01:15,0.0,0.0,0.0,0.0,
2020-02-09 01:20,0.0,0.0,0.0,0.0,
2020-02-09 01:25,0.0,0.0,0.0,0.0,
2020-02-09 01:30,0.0,0.0,0.0,0.0,
2020-02-09 01:35,0.0,0.0,0.0,0.0,
2020-02-09 01:40,0.0,0.0,0.0,0.0,
2020-02-09 01:45,0.0,0.0,0.0,0.0,
2020-02-09 01:50,0.0,0.0,0.0,0.0,
2020-02-09 01:55,0.0,0.0,0.5,0.5,
2020-02-09 02:00,0.0,0.0,0.0,0.0,
2020-02-09 02:05,0.0,0.0,0.0,0.0,
2020-02-09 02:10,0.0,0.0,0.0,0.0,
2020-02-09 02:15,0.0,0.0,0.0,0.0,
2020-02-09 02:20,0.0,0.0,0.0,0.0,
2020-02-09 02:25,0.0,0.0,0.0,0.0,
2020-02-09 02:30,0.0,0.0,0.0,0.0,
2020-02-09 02:35,0.0,0.0,0.0,0.0,
2020-02-09 02:40,0.0,0.0,0.0,0.0,
2020-02-09 02:45,0.5,0.0,0.0,0.0,
2020-02-09 02:50,0.5,0.0,0.0,0.0,
2020-02-09 02:55,0.0,0.0,0.0,0.0,
2020-02-09 03:00,0.0,0.0,0.0,0.0,
2020-02-09 03:05,0.0,0.0,0.0,0.5,
2020-02-09 03:10,0.0,0.0,0.5,0.0,
2020-02-09 03:15,0.5,0.5,0.0,0.0,
2020-02-09 03:20,0.0,0.0,0.0,0.0,
2020-02-09 03:25,0.0,0.0,0.0,0.0,
2020-02-09 03:30,0.0,0.0,0.0,0.0,
2020-02-09 03:35,0.0,0.0,0.0,0.0,
2020-02-09 03:40,1.0,0.0,0.0,0.0,
2020-02-09 03:45,2.5,1.0,0.0,0.5,
2020-02-09 03:50,0.0,0.5,0.5,0.0,
2020-02-09 03:55,0.0,0.0,0.0,0.0,
2020-02-09 04:00,0.5,0.0,0.0,0.0,
2020-02-09 04:05,0.0,0.0,0.0,0.0,
2020-02-09 04:10,0.5,0.0,0.5,0.0,
2020-02-09 04:15,1.5,0.5,0.0,0.5,
2020-02-09 04:20,0.5,0.0,0.0,0.0,
2020-02-09 04:25,0.5,0.5,0.0,0.0,
2020-02-09 04:30,0.5,0.5,0.0,0.0,
2020-02-09 04:35,1.5,0.5,0.5,0.0,
2020-02-09 04:40,0.5,0.5,0.0,0.5,
2020-02-09 04:45,3.0,0.0,0.0,0.0,
2020-02-09 04:50,1.0,0.0,0.0,0.0,
2020-02-09 04:55,0.5,0.0,0.5,0.0,
2020-02-09 05:00,0.0,0.5,0.0,0.5,
2020-02-09 05:05,0.5,0.0,0.0,0.0,
2020-02-09 05:10,0.0,0.0,0.5,0.5,
2020-02-09 05:15,0.0,0.5,0.5,0.0,
2020-02-09 05:20,0.0,0.0,0.0,0.0,
2020-02-09 05:25,0.5,0.5,0.0,0.5,
2020-02-09 05:30,0.0,0.0,0.5,0.0,
2020-02-09 05:35,0.5,0.5,0.0,0.0,
2020-02-09 05:40,0.0,0.0,0.0,0.5,
2020-02-09 05:45,0.0,0.5,0.5,0.0,
2020-02-09 05:50,0.5,0.0,0.0,0.0,
2020-02-09 05:55,0.0,0.0,0.0,0.0,
2020-02-09 06:00,0.0,0.0,0.0,0.0,
2020-02-09 06:05,0.5,0.5,0.5,0.5,
2020-02-09 06:10,0.0,0.0,0.0,0.0,
2020-02-09 06:15,0.0,0.0,0.0,0.0,
2020-02-09 06:20,0.5,0.5,0.0,0.0,
2020-02-09 06:25,0.0,0.0,0.0,0.0,
2020-02-09 06:30,0.0,0.0,0.0,0.0,
2020-02-09 06:35,0.0,0.0,0.5,0.5,
2020-02-09 06:40,0.0,0.0,0.0,0.0,
2020-02-09 06:45,0.0,0.0,0.0,0.0,
2020-02-09 06:50,0.0,0.5,0.0,0.0,
2020-02-09 06:55,0.5,0.0,0.5,0.0,
2020-02-09 07:00,0.0,0.0,0.0,0.5,
2020-02-09 07:05,0.0,0.5,0.0,0.0,
2020-02-09 07:10,0.0,0.0,0.5,0.5,
2020-02-09 07:15,1.0,0.0,0.5,0.0,
2020-02-09 07:20,0.0,0.5,0.0,0.5,
2020-02-09 07:25,0.0,0.5,0.5,0.5,
2020-02-09 07:30,0.5,0.5,0.0,0.0,
2020-02-09 07:35,0.0,0.5,1.0,0.5,
2020-02-09 07:40,0.5,0.0,0.0,0.5,
2020-02-09 07:45,0.0,0.0,1.5,1.5,
2020-02-09 07:50,0.5,0.5,1.0,0.5,
2020-02-09 07:55,0.5,0.5,0.5,0.5,
2020-02-09 08:00,1.0,0.0,0.0,0.0,
2020-02-09 08:05,0.0,0.5,0.5,0.0,
2020-02-09 08:10,0.5,0.5,0.0,0.5,
2020-02-09 08:15,0.0,0.0,0.0,0.0,
2020-02-09 08:20,0.5,0.5,1.0,1.0,
2020-02-09 08:25,0.5,0.5,2.0,1.5,
2020-02-09 08:30,0.5,1.0,1.0,0.5,
2020-02-09 08:35,0.5,1.0,1.0,1.0,
2020-02-09 08:40,0.5,1.0,1.0,1.0,
2020-02-09 08:45,1.0,1.0,0.5,0.0,
2020-02-09 08:50,1.0,0.0,0.5,1.0,
2020-02-09 08:55,0.5,0.5,0.0,0.0,
2020-02-09 09:00,0.5,1.5,1.5,1.5,
2020-02-09 09:05,0.5,0.5,1.0,0.5,
2020-02-09 09:10,0.5,0.5,0.5,0.5,
2020-02-09 09:15,0.5,0.5,0.5,0.5,
2020-02-09 09:20,1.0,0.5,0.5,0.5,
2020-02-09 09:25,0.0,0.5,0.5,0.0,
2020-02-09 09:30,1.0,1.0,0.5,0.5,
2020-02-09 09:35,1.0,0.5,0.5,0.5,
2020-02-09 09:40,0.5,0.5,1.0,1.0,
2020-02-09 09:45,0.5,1.5,0.5,0.5,
2020-02-09 09:50,0.5,1.0,0.5,0.5,
2020-02-09 09:55,1.0,1.0,2.5,1.5,
2020-02-09 10:00,1.0,1.0,3.0,2.0,
2020-02-09 10:05,1.0,0.5,1.0,0.5,
2020-02-09 10:10,0.5,1.0,1.0,1.0,
2020-02-09 10:15,1.0,1.5,1.5,1.5,
2020-02-09 10:20,1.0,1.5,2.0,1.5,
2020-02-09 10:25,0.5,1.0,1.5,1.5,
2020-02-09 10:30,0.5,1.0,1.0,0.5,
2020-02-09 10:35,1.0,0.5,1.0,0.5,
2020-02-09 10:40,0.5,1.0,1.0,0.5,
2020-02-09 10:45,0.5,0.5,0.5,1.5,
2020-02-09 10:50,0.5,1.0,1.0,0.5,
2020-02-09 10:55,1.0,1.0,1.5,1.0,
2020-02-09 11:00,0.5,1.5,1.0,0.5,
2020-02-09 11:05,1.0,1.0,1.0,1.0,
2020-02-09 11:10,2.0,1.0,1.5,1.0,
2020-02-09 11:15,1.0,0.5,1.0,0.5,
2020-02-09 11:20,0.5,1.0,0.5,0.5,
2020-02-09 11:25,0.5,0.5,1.0,1.0,
2020-02-09 11:30,0.5,0.5,0.5,0.5,
2020-02-09 11:35,1.5,1.0,0.5,0.5,
