Event code,Start time,Rain ID,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73
common,common,0,22.2,44.4,22.2,66.60000000000001,44.4,44.4,88.8,111.0,133.20000000000002,177.6,133.20000000000002,177.6,133.20000000000002,133.20000000000002,111.0,199.79999999999998,244.20000000000002,310.79999999999995,244.20000000000002,399.59999999999997,643.8,510.6,333.0,399.59999999999997,333.0,399.59999999999997,222.0,333.0,133.20000000000002,0.0,66.60000000000001,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,1,22.2,44.4,22.2,88.8,44.4,44.4,111.0,155.39999999999998,155.39999999999998,133.20000000000002,111.0,155.39999999999998,88.8,88.8,88.8,222.0,155.39999999999998,177.6,155.39999999999998,199.79999999999998,333.0,355.2,266.40000000000003,222.0,199.79999999999998,222.0,133.20000000000002,88.8,22.2,0.0,66.60000000000001,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,2,44.4,44.4,44.4,88.8,66.60000000000001,88.8,133.20000000000002,155.39999999999998,133.20000000000002,155.39999999999998,111.0,155.39999999999998,88.8,66.60000000000001,66.60000000000001,155.39999999999998,111.0,177.6,133.20000000000002,199.79999999999998,266.40000000000003,244.20000000000002,177.6,133.20000000000002,111.0,133.20000000000002,66.60000000000001,44.4,0.0,0.0,44.4,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,3,66.60000000000001,22.2,66.60000000000001,88.8,111.0,111.0,155.39999999999998,155.39999999999998,133.20000000000002,155.39999999999998,133.20000000000002,133.20000000000002,88.8,44.4,66.60000000000001,111.0,66.60000000000001,155.39999999999998,111.0,222.0,199.79999999999998,155.39999999999998,88.8,66.60000000000001,44.4,44.4,0.0,0.0,0.0,0.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,4,66.60000000000001,22.2,66.60000000000001,88.8,133.20000000000002,155.39999999999998,199.79999999999998,177.6,133.20000000000002,177.6,177.6,155.39999999999998,111.0,66.60000000000001,88.8,111.0,66.60000000000001,133.20000000000002,88.8,155.39999999999998,133.20000000000002,88.8,66.60000000000001,44.4,22.2,22.2,0.0,0.0,0.0,0.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,5,88.8,22.2,66.60000000000001,111.0,177.6,199.79999999999998,244.20000000000002,199.79999999999998,133.20000000000002,199.79999999999998,222.0,155.39999999999998,133.20000000000002,66.60000000000001,111.0,111.0,66.60000000000001,111.0,88.8,111.0,88.8,44.4,44.4,22.2,0.0,0.0,0.0,0.0,0.0,0.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,6,88.8,44.4,88.8,133.20000000000002,199.79999999999998,244.20000000000002,244.20000000000002,177.6,199.79999999999998,288.59999999999997,244.20000000000002,133.20000000000002,88.8,44.4,88.8,66.60000000000001,66.60000000000001,88.8,66.60000000000001,88.8,44.4,44.4,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,7,22.2,44.4,44.4,66.60000000000001,44.4,44.4,88.8,133.20000000000002,155.39999999999998,155.39999999999998,133.20000000000002,177.6,155.39999999999998,199.79999999999998,155.39999999999998,244.20000000000002,310.79999999999995,421.8,266.40000000000003,554.9999999999999,777.0,577.1999999999999,421.8,488.40000000000003,421.8,466.20000000000005,266.40000000000003,310.79999999999995,111.0,0.0,44.4,66.60000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,8,22.2,66.60000000000001,44.4,111.0,66.60000000000001,66.60000000000001,111.0,155.39999999999998,155.39999999999998,111.0,133.20000000000002,177.6,111.0,133.20000000000002,111.0,244.20000000000002,199.79999999999998,266.40000000000003,155.39999999999998,288.59999999999997,444.0,421.8,333.0,288.59999999999997,288.59999999999997,288.59999999999997,177.6,88.8,22.2,0.0,88.8,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,9,44.4,44.4,66.60000000000001,111.0,111.0,88.8,133.20000000000002,155.39999999999998,155.39999999999998,133.20000000000002,133.20000000000002,177.6,111.0,88.8,88.8,177.6,133.20000000000002,222.0,111.0,288.59999999999997,355.2,288.59999999999997,222.0,177.6,177.6,155.39999999999998,88.8,44.4,0.0,0.0,66.60000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,10,66.60000000000001,44.4,88.8,111.0,133.20000000000002,133.20000000000002,133.20000000000002,133.20000000000002,133.20000000000002,177.6,133.20000000000002,155.39999999999998,111.0,66.60000000000001,88.8,133.20000000000002,88.8,177.6,88.8,310.79999999999995,266.40000000000003,177.6,111.0,66.60000000000001,66.60000000000001,44.4,0.0,0.0,0.0,0.0,66.60000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,11,88.8,44.4,88.8,133.20000000000002,177.6,199.79999999999998,222.0,155.39999999999998,155.39999999999998,177.6,155.39999999999998,177.6,133.20000000000002,66.60000000000001,111.0,133.20000000000002,66.60000000000001,155.39999999999998,88.8,222.0,199.79999999999998,111.0,88.8,22.2,22.2,22.2,0.0,0.0,0.0,0.0,66.60000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,12,111.0,22.2,111.0,155.39999999999998,199.79999999999998,244.20000000000002,310.79999999999995,199.79999999999998,155.39999999999998,177.6,177.6,199.79999999999998,133.20000000000002,66.60000000000001,133.20000000000002,155.39999999999998,66.60000000000001,111.0,88.8,133.20000000000002,111.0,44.4,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,13,111.0,44.4,111.0,177.6,244.20000000000002,310.79999999999995,310.79999999999995,199.79999999999998,199.79999999999998,288.59999999999997,199.79999999999998,155.39999999999998,88.8,44.4,111.0,111.0,66.60000000000001,66.60000000000001,66.60000000000001,88.8,66.60000000000001,44.4,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,14,22.2,44.4,44.4,66.60000000000001,44.4,66.60000000000001,88.8,155.39999999999998,155.39999999999998,155.39999999999998,133.20000000000002,266.40000000000003,288.59999999999997,288.59999999999997,244.20000000000002,355.2,488.40000000000003,599.4,377.4,732.5999999999999,821.4000000000001,599.4,488.40000000000003,510.6,466.20000000000005,444.0,244.20000000000002,266.40000000000003,66.60000000000001,0.0,22.2,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,15,22.2,44.4,44.4,111.0,88.8,66.60000000000001,111.0,199.79999999999998,177.6,133.20000000000002,155.39999999999998,266.40000000000003,199.79999999999998,177.6,177.6,355.2,266.40000000000003,333.0,222.0,421.8,532.8000000000001,466.20000000000005,444.0,333.0,355.2,310.79999999999995,199.79999999999998,111.0,22.2,0.0,44.4,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,16,66.60000000000001,44.4,66.60000000000001,133.20000000000002,111.0,111.0,111.0,177.6,177.6,177.6,177.6,222.0,155.39999999999998,133.20000000000002,155.39999999999998,266.40000000000003,199.79999999999998,266.40000000000003,177.6,444.0,444.0,333.0,288.59999999999997,199.79999999999998,222.0,155.39999999999998,111.0,66.60000000000001,0.0,0.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,17,88.8,44.4,111.0,133.20000000000002,155.39999999999998,133.20000000000002,111.0,155.39999999999998,177.6,222.0,222.0,199.79999999999998,111.0,66.60000000000001,111.0,177.6,111.0,199.79999999999998,111.0,466.20000000000005,355.2,199.79999999999998,155.39999999999998,66.60000000000001,111.0,22.2,22.2,22.2,0.0,22.2,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,18,111.0,66.60000000000001,133.20000000000002,177.6,199.79999999999998,222.0,199.79999999999998,199.79999999999998,177.6,222.0,199.79999999999998,222.0,111.0,66.60000000000001,155.39999999999998,177.6,111.0,177.6,88.8,333.0,244.20000000000002,133.20000000000002,111.0,44.4,44.4,0.0,0.0,0.0,0.0,22.2,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,19,133.20000000000002,66.60000000000001,177.6,199.79999999999998,244.20000000000002,288.59999999999997,288.59999999999997,222.0,199.79999999999998,199.79999999999998,199.79999999999998,244.20000000000002,111.0,66.60000000000001,199.79999999999998,199.79999999999998,111.0,155.39999999999998,88.8,177.6,155.39999999999998,66.60000000000001,66.60000000000001,0.0,0.0,0.0,0.0,0.0,0.0,22.2,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,20,133.20000000000002,88.8,155.39999999999998,222.0,333.0,377.4,310.79999999999995,222.0,222.0,288.59999999999997,199.79999999999998,155.39999999999998,66.60000000000001,44.4,133.20000000000002,133.20000000000002,88.8,111.0,66.60000000000001,111.0,88.8,44.4,44.4,0.0,0.0,0.0,0.0,0.0,0.0,22.2,22.2,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,21,22.2,44.4,44.4,66.60000000000001,44.4,66.60000000000001,88.8,177.6,177.6,133.20000000000002,155.39999999999998,377.4,399.59999999999997,399.59999999999997,333.0,466.20000000000005,643.8,777.0,466.20000000000005,910.2,865.8000000000001,621.5999999999999,577.1999999999999,532.8000000000001,488.40000000000003,421.8,199.79999999999998,199.79999999999998,44.4,0.0,22.2,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,22,44.4,44.4,44.4,111.0,88.8,88.8,111.0,244.20000000000002,199.79999999999998,133.20000000000002,177.6,355.2,288.59999999999997,222.0,244.20000000000002,444.0,333.0,421.8,288.59999999999997,532.8000000000001,621.5999999999999,510.6,532.8000000000001,377.4,399.59999999999997,310.79999999999995,222.0,133.20000000000002,22.2,0.0,22.2,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.60000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,23,66.60000000000001,66.60000000000001,88.8,133.20000000000002,111.0,111.0,88.8,199.79999999999998,199.79999999999998,199.79999999999998,222.0,288.59999999999997,199.79999999999998,155.39999999999998,199.79999999999998,333.0,244.20000000000002,310.79999999999995,222.0,577.1999999999999,532.8000000000001,377.4,355.2,244.20000000000002,266.40000000000003,155.39999999999998,133.20000000000002,66.60000000000001,0.0,22.2,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
